timestamp,id,owner,pool,token,price,poolAmount,reserveAmount,impermanentLoss,fees
1602516137,0,0x5f7a009664B771E889751f4FD721aDc439033ECD,ETHBNT,BNT,322.22513507007346,0.5,0.43214053722646667,0.9694950179950933,1.0093586156900065
1602516137,1,0x5f7a009664B771E889751f4FD721aDc439033ECD,ETHBNT,ETH,0.0031034202213385143,0.5,0.00134092298816389,0.9694950179950934,1.0095021572311151
1602517590,2,0x82A9825ebd642A88385F122Be7a8BCB64C828c22,ETHBNT,BNT,322.270958914793,1.1570310047954864,1,0.9695119116734772,1.0094303839091001
1602517590,3,0x82A9825ebd642A88385F122Be7a8BCB64C828c22,ETHBNT,ETH,0.0031029789446972646,1.1570310047954864,0.003102978944697264,0.9695119116734771,1.0094303839091001
1602519516,4,0x5f7a009664B771E889751f4FD721aDc439033ECD,ETHBNT,BNT,322.7069347207896,15,12.975353175957272,0.9696723054966088,1.0092459394904008
1602519516,5,0x5f7a009664B771E889751f4FD721aDc439033ECD,ETHBNT,ETH,0.003098786832285502,15,0.04019319691426141,0.969672305496609,1.0096139661043246
1602525662,6,0x5f7a009664B771E889751f4FD721aDc439033ECD,ETHBNT,BNT,322.7825866017928,5,4.324846060102394,0.9697000757929276,1.009427634059666
1602525662,7,0x5f7a009664B771E889751f4FD721aDc439033ECD,ETHBNT,ETH,0.003098060556883975,5,0.013398634993398289,0.9697000757929274,1.009427634059666
1602529186,8,0x5f7a009664B771E889751f4FD721aDc439033ECD,NMRBNT,BNT,26.72031883632288,12.5,14.98201743349519,0.9761939225999589,1.0147223942738455
1602529186,9,0x5f7a009664B771E889751f4FD721aDc439033ECD,NMRBNT,NMR,0.03742470313043672,12.5,0.5605880984726009,0.9761939225999586,1.0149205214364876
1602530154,10,0x5f7a009664B771E889751f4FD721aDc439033ECD,NMRBNT,BNT,25.531024821084635,10,11.451003835487207,0.9807830089092822,1.0381910388689501
1602530154,11,0x5f7a009664B771E889751f4FD721aDc439033ECD,NMRBNT,NMR,0.03916803211025655,10,0.4695162761328931,0.9807830089092822,0.991749376814286
1602531089,12,0xd638C27939124fa00194bdDcf6a715Ce9e36045f,ETHBNT,BNT,283.52767519496405,12.223887871870588,9.819920487017942,0.9525984545783591,1.0186380743587895
1602531089,13,0xd638C27939124fa00194bdDcf6a715Ce9e36045f,ETHBNT,ETH,0.0035269925565903333,12.223887871870588,0.03527703298735113,0.9525984545783592,1.000092955725287
1602532190,14,0x5b4a849009105f018e64dECBcF371e5EE7ab2f51,ETHBNT,BNT,279.71031746611294,146.8329286115097,118.19865597433879,0.9506164722500415,1.00968512044444
1602532190,15,0x5b4a849009105f018e64dECBcF371e5EE7ab2f51,ETHBNT,ETH,0.0035751273283694675,146.8329286115097,0.42288451155145845,0.9506164722500416,1.0089467115529513
1602533098,18,0x27AAE6ff5Eef49c58f136F4898415b0C3554bf13,TRBBNT,TRB,0.049586776859504134,500,150,0.9877674247980233,1.0131614632306907
1602533098,19,0x27AAE6ff5Eef49c58f136F4898415b0C3554bf13,TRBBNT,BNT,20.166666666666664,500,3024.9999999999995,0.9877674247980234,1.0131614632306907
1602533790,20,0xc6bb76D4Db067495f8b9b545E6e1CC9e550F3ff3,ETHBNT,BNT,282.2557450311462,747.5,606.1098332751126,0.9519449775090923,1.006936428050109
1602533790,21,0xc6bb76D4Db067495f8b9b545E6e1CC9e550F3ff3,ETHBNT,ETH,0.0035428862568932036,747.5,2.137286403105487,0.9519449775090922,1.0116909599511565
1602535478,22,0x82A9825ebd642A88385F122Be7a8BCB64C828c22,NMRBNT,BNT,23.323931770270303,1,1.1199763538980942,0.9884942428927102,1.0145623454318726
1602535478,23,0x82A9825ebd642A88385F122Be7a8BCB64C828c22,NMRBNT,NMR,0.04287441799476722,1,0.048010344040805994,0.9884942428927103,1.0147311977522184
1602536260,24,0xdB0B68068e0fF1D3523F442f44c9c3e10A49A723,ETHBNT,BNT,282.65910962073394,119.34839474812092,96.34727322630906,0.952152955911331,1.0121140128731596
1602536260,25,0xdB0B68068e0fF1D3523F442f44c9c3e10A49A723,ETHBNT,ETH,0.0035378304323599513,119.34839474812092,0.34275953176299373,0.952152955911331,1.006505930755313
1602540710,28,0x6D7809A95D6E82425f2403eead3064Aaa013082D,NMRBNT,BNT,23.327813542560325,78199.90054888571,86791.22414547822,0.9884817986049794,1.0238919221067517
1602540710,29,0x6D7809A95D6E82425f2403eead3064Aaa013082D,NMRBNT,NMR,0.042867283647288874,78199.90054888571,3788.7866013473977,0.9884817986049794,1.0054390538947695
1602541201,30,0xE693cD414421237E3a6C613a0C75d41dD1921b61,MKRBNT,BNT,420.88979468131595,99999.99999999999,75712.0370458454,0.9999723770345883,1.0097886910863327
1602541201,31,0xE693cD414421237E3a6C613a0C75d41dD1921b61,MKRBNT,MKR,0.002375918857232372,99999.99999999999,180.68982192598256,0.9999723770345883,1.0052945966918336
1602541219,32,0xE693cD414421237E3a6C613a0C75d41dD1921b61,RPLBNT,BNT,2.109988135618775,337296.5975781032,94656.51342758027,0.9928860266038835,1.0177802501243018
